trainable params: 20,971,520 || all params: 2,796,180,480 || trainable%: 0.7500
{'loss': 30.6784, 'grad_norm': 9.70617961883545, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss': 32.4635, 'grad_norm': 16.654176712036133, 'learning_rate': 2.5e-05, 'epoch': 0.0}
{'loss': 31.7386, 'grad_norm': 10.57443904876709, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.01}
{'loss': 29.6846, 'grad_norm': 19.937898635864258, 'learning_rate': 5.2777777777777784e-05, 'epoch': 0.01}
{'loss': 26.4399, 'grad_norm': 13.73643970489502, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.01}
{'loss': 27.2355, 'grad_norm': 12.372121810913086, 'learning_rate': 8.055555555555556e-05, 'epoch': 0.01}
{'loss': 26.0902, 'grad_norm': 9.183692932128906, 'learning_rate': 9.444444444444444e-05, 'epoch': 0.01}
{'loss': 29.83, 'grad_norm': 15.334762573242188, 'learning_rate': 0.00010833333333333333, 'epoch': 0.02}
{'loss': 28.8148, 'grad_norm': 11.173822402954102, 'learning_rate': 0.00012222222222222224, 'epoch': 0.02}
{'loss': 26.3413, 'grad_norm': 57.90531539916992, 'learning_rate': 0.00013611111111111113, 'epoch': 0.02}
{'loss': 25.4462, 'grad_norm': 11.140765190124512, 'learning_rate': 0.00015000000000000001, 'epoch': 0.02}
{'loss': 25.354, 'grad_norm': 35.31509780883789, 'learning_rate': 0.0001638888888888889, 'epoch': 0.03}
{'loss': 24.8342, 'grad_norm': 15.663738250732422, 'learning_rate': 0.00017777777777777779, 'epoch': 0.03}
{'loss': 26.294, 'grad_norm': 9.692422866821289, 'learning_rate': 0.00019166666666666667, 'epoch': 0.03}
{'loss': 23.1418, 'grad_norm': 7.628201961517334, 'learning_rate': 0.00019982578397212544, 'epoch': 0.03}
{'loss': 25.7276, 'grad_norm': 15.541553497314453, 'learning_rate': 0.00019939024390243904, 'epoch': 0.03}
{'loss': 25.8312, 'grad_norm': 7.526271820068359, 'learning_rate': 0.00019895470383275262, 'epoch': 0.04}
{'loss': 26.6183, 'grad_norm': 43.70842361450195, 'learning_rate': 0.0001985191637630662, 'epoch': 0.04}
{'loss': 25.43, 'grad_norm': 8.494356155395508, 'learning_rate': 0.0001980836236933798, 'epoch': 0.04}
{'loss': 27.5634, 'grad_norm': 27.530418395996094, 'learning_rate': 0.0001976480836236934, 'epoch': 0.04}
{'loss': 28.5807, 'grad_norm': 11.273259162902832, 'learning_rate': 0.00019721254355400697, 'epoch': 0.04}
{'loss': 27.8692, 'grad_norm': 8.89879322052002, 'learning_rate': 0.00019677700348432058, 'epoch': 0.05}
{'loss': 26.6519, 'grad_norm': 12.24662971496582, 'learning_rate': 0.00019634146341463416, 'epoch': 0.05}
{'loss': 24.7164, 'grad_norm': 15.348567008972168, 'learning_rate': 0.00019590592334494774, 'epoch': 0.05}
{'loss': 28.2919, 'grad_norm': 10.271324157714844, 'learning_rate': 0.00019547038327526132, 'epoch': 0.05}
{'loss': 25.1651, 'grad_norm': 12.276511192321777, 'learning_rate': 0.00019503484320557493, 'epoch': 0.05}
{'loss': 25.1868, 'grad_norm': 8.432024002075195, 'learning_rate': 0.0001945993031358885, 'epoch': 0.06}
{'loss': 24.8747, 'grad_norm': 11.571581840515137, 'learning_rate': 0.0001941637630662021, 'epoch': 0.06}
{'loss': 26.9974, 'grad_norm': 15.9129056930542, 'learning_rate': 0.0001937282229965157, 'epoch': 0.06}
{'loss': 25.7227, 'grad_norm': 11.983022689819336, 'learning_rate': 0.00019329268292682928, 'epoch': 0.06}
{'loss': 25.3997, 'grad_norm': 8.770559310913086, 'learning_rate': 0.00019285714285714286, 'epoch': 0.07}
{'loss': 28.0496, 'grad_norm': 13.157472610473633, 'learning_rate': 0.00019242160278745644, 'epoch': 0.07}
{'loss': 24.2358, 'grad_norm': 8.963516235351562, 'learning_rate': 0.00019198606271777005, 'epoch': 0.07}
{'loss': 26.6255, 'grad_norm': 13.829380989074707, 'learning_rate': 0.00019155052264808363, 'epoch': 0.07}
{'loss': 24.8647, 'grad_norm': 9.257487297058105, 'learning_rate': 0.0001911149825783972, 'epoch': 0.07}
{'loss': 26.8929, 'grad_norm': 13.058146476745605, 'learning_rate': 0.00019067944250871082, 'epoch': 0.08}
{'loss': 26.7571, 'grad_norm': 13.113057136535645, 'learning_rate': 0.0001902439024390244, 'epoch': 0.08}
{'loss': 24.3599, 'grad_norm': 15.014633178710938, 'learning_rate': 0.00018980836236933798, 'epoch': 0.08}
{'loss': 27.0415, 'grad_norm': 11.203474998474121, 'learning_rate': 0.0001893728222996516, 'epoch': 0.08}
{'loss': 26.0832, 'grad_norm': 9.799758911132812, 'learning_rate': 0.00018893728222996517, 'epoch': 0.08}
{'loss': 27.5735, 'grad_norm': 13.119110107421875, 'learning_rate': 0.00018850174216027875, 'epoch': 0.09}
{'loss': 24.6522, 'grad_norm': 8.755749702453613, 'learning_rate': 0.00018806620209059233, 'epoch': 0.09}
